,show_id,OTT Platform,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
9812,S9813,Disney,Movie,Garfield,Peter Hewitt,"Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky, Bill Murray, Evan Arnold, Mark Lawrence",United States,"July 30, 2021",2004,PG,82 min,"Comedy, Family","Garfield lures Odie out of the house but once he's lost, Garfield springs into action to save him."
9819,S9820,Disney,Movie,Ice Age: The Meltdown,Carlos Saldanha,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck, Queen Latifah","United States, United Kingdom, Australia","July 23, 2021",2006,PG,94 min,"Animation, Comedy, Family","Manny, Sid, Diego and Scrat join forces with new friends to save the valley from an epic flood."
9836,S9837,Disney,Movie,We Bought a Zoo,Cameron Crowe,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Patrick Fugit, Colin Ford, Elle Fanning",United States,"July 16, 2021",2011,PG,125 min,"Animals & Nature, Drama, Family",A single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.
9840,S9841,Disney,Movie,Flicka,Michael Mayer,"Alison Lohman, Tim McGraw, Maria Bello, Ryan Kwanten, Danny Pino, Dallas Roberts","United States, United Kingdom","July 9, 2021",2006,PG,95 min,"Animals & Nature, Coming of Age, Drama",A 14-year-old girl befriends a wild filly and tries to rescue the horse from a rodeo entrepreneur.
9844,S9845,Disney,Movie,Shark Beach with Chris Hemsworth,Sally Aitken,Chris Hemsworth,United States,"July 9, 2021",2021,TV-PG,44 min,"Animals & Nature, Documentary",Chris Hemsworth investigates how we can live harmoniously with sharks.
9853,S9854,Disney,Movie,The Sandlot,David Mickey Evans,"Art La Fleur, Tom Guiry, Mike Vitar, Patrick Renna, Chauncey Leopardi, Marty York",United States,"July 2, 2021",1993,PG,101 min,"Comedy, Coming of Age, Family",A shy boy moves to a new neighborhood and becomes involved with a ragtag baseball team.
9854,S9855,Disney,Movie,The Sandlot 2,David Mickey Evans,"Max Lloyd-Jones, James Willson, Samantha Burton, Brett Kelly, James Earl Jones, Cole Evan Weiss",United States,"July 2, 2021",2005,PG,98 min,"Comedy, Sports","10 years after the events at The Sandlot, a team of boys and girls overcome an all-new challenge."
9855,S9856,Disney,Movie,Adventures in Babysitting,Chris Columbus,"Elisabeth Shue, Maia Brewton, Keith Coogan, Anthony Rapp, Calvin Levels, Vincent Phillip D'Onofrio",United States,"June 25, 2021",1987,TV-PG,102 min,"Action-Adventure, Comedy, Coming of Age",A seemingly quiet night turns into a wild expedition for a teen babysitter.
9862,S9863,Disney,Movie,Luca,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Maya Rudolph, Marco Barricelli, Jim Gaffigan",United States,"June 18, 2021",2021,PG,101 min,"Animation, Buddy, Coming of Age","Join Luca, a young sea monster, as he experiences an unforgettable summer on the Italian Riviera."
9865,S9866,Disney,Movie,Strange Magic,Gary Rydstrom,"Alan Cumming, Evan Rachel Wood, Elijah Kelley, Meredith Anne Bull, Sam Palladio, Kristin Chenoweth","United States, Canada, United Kingdom, Singapore, Australia, Thailand","June 11, 2021",2015,PG,101 min,"Action-Adventure, Animation, Family",A tough fairy princess crosses paths with the sinister Bog King.
9866,S9867,Disney,Movie,The Happiest Millionaire,Norman Tokar,"Fred MacMurray, Tommy Steele, Greer Garson, Geraldine Page, Gladys Cooper, Hermione Baddeley",United States,"June 11, 2021",1967,G,170 min,"Biographical, Coming of Age, Family",An immigrant finds a butler position in the home of a millionaire.
9867,S9868,Disney,Movie,The Pacifier,Adam Shankman,"Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow, Max Thieriot, Chris Potter","Canada, United States","June 11, 2021",2005,PG,97 min,"Action-Adventure, Comedy, Spy/Espionage",A Navy SEAL gets his toughest mission yet: Babysitting.
9872,S9873,Disney,Movie,Raya and the Last Dragon,"Don Hall, Carlos López Estrada","Kelly Marie Tran, Awkwafina , Izaac Wang, Gemma Chan, Daniel Dae Kim, Benedict Wong",United States,"June 4, 2021",2021,PG,112 min,"Action-Adventure, Animation, Family","When evil threatens Kumandra, Raya must find the last dragon to save it."
9873,S9874,Disney,Movie,Red Tails,Anthony Hemingway,"Terrence Howard, Cuba Gooding Jr., Nate Parker, David Oyelowo, Tristan Wilds, Ne-Yo",United States,"June 4, 2021",2012,PG-13,126 min,"Action-Adventure, Drama, Historical",Black fighter pilots get the chance to prove themselves during WWII.
9888,S9889,Disney,Movie,Tinker Bell and the Legend of the NeverBeast,Steve Loter,"Ginnifer Goodwin, Mae Whitman, Rosario Dawson, Lucy Liu, Raven-Symoné , Megan Hilty",United States,"May 21, 2021",2014,G,79 min,"Action-Adventure, Animation, Fantasy",Tink and her friends risk everything to rescue the mysterious NeverBeast.
9893,S9894,Disney,Movie,X-Men: The Last Stand,Brett Ratner,"Hugh Jackman, Halle Berry, Ian McKellen, Famke Janssen, Anna Paquin, Kelsey Grammer","United States, United Kingdom, Canada","May 14, 2021",2006,PG-13,105 min,"Action-Adventure, Family, Science Fiction","When Professor X clashes with Magneto, the battle lines are drawn for the war to end all wars."
9895,S9896,Disney,Movie,Fantastic Four: Rise of the Silver Surfer,Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington","United States, Germany, United Kingdom","May 7, 2021",2007,PG,93 min,"Action-Adventure, Family, Science Fiction","The Fantastic Four meet The Silver Surfer, who comes to Earth to prepare it for destruction."
9897,S9898,Disney,Movie,Wild Hearts Can't Be Broken,Steve Miner,"Gabrielle Anwar, Michael Schoeffling, Kathleen York, Dylan Kussman, Cliff Robertson, Frank Renzulli",United States,"May 7, 2021",1991,G,89 min,"Biographical, Drama","A runaway is determined to become a death-defying horse ""diving girl."""
9907,S9908,Disney,Movie,Oklahoma!,Fred Zinnemann,"Gordon MacRae, Gloria Grahame, Gene Nelson",United States,"April 30, 2021",1956,TV-PG,148 min,"Musical, Romance, Western",Two young cowboys vie with a ranch hand and peddler for the hearts of the women they love.
9908,S9909,Disney,Movie,Baby's Day Out,Patrick Read Johnson,"Joe Mantegna, Lara Flynn Boyle, Joe Pantoliano, Brian Haley, Cynthia Nixon, Fred Dalton Thompson",United States,"April 23, 2021",1994,PG,99 min,"Action-Adventure, Comedy, Crime",Three bumbling kidnappers attempt to nab the baby of a rich couple.
9915,S9916,Disney,Movie,Rio,Carlos Saldanha,"Anne Hathaway, Jesse Eisenberg, will.i.am , Jamie Foxx, George Lopez, Tracy Morgan","United States, Brazil","April 16, 2021",2011,G,99 min,"Action-Adventure, Animation, Comedy","Blu, a rare macaw leaves his home in small town Minnesota and heads to Rio to help save his species."
9916,S9917,Disney,Movie,The Kid Who Would Be King,Joe Cornish,"Louis Ashbourne Serkis, Tom Taylor, Rebecca Ferguson, Patrick Stewart, Denise Gough, Dean Chaumoo","United Kingdom, United States","April 16, 2021",2019,PG,121 min,"Action-Adventure, Coming of Age, Family","When a kid discovers the legendary sword, Excalibur, he and his friends join Merlin to fight evil!"
9917,S9918,Disney,Movie,Treasure Buddies,Robert Vince,"Richard Riehle, Mason Cook, Adam Alexi-Malle, Lochlyn Munro, Mo Gallini, Christopher Maleki","United States, Canada","April 16, 2021",2012,G,96 min,"Action-Adventure, Comedy, Kids",Travel across the globe on a treasure hunt with the adorable thrill-seeking Buddies.
9918,S9919,Disney,Movie,White Fang 2: Myth of the White Wolf,Ken Olin,"Scott Bairstow, Charmaine Craig, Alfred Molina, Geoffrey Lewis, Al Harrington, Anthony Michael Ruivivar",United States,"April 16, 2021",1994,PG,106 min,"Action-Adventure, Animals & Nature, Drama",A dog-wolf stops miners from destroying a sacred land.
9919,S9920,Disney,Movie,Cesar Millan: The Real Story,Doug Shultz,Cesar Millan,United States,"April 9, 2021",2012,TV-PG,45 min,"Biographical, Documentary",Follow Cesar Millan's incredible rise from impoverished illegal immigrant to celebrity dog trainer.
9922,S9923,Disney,Movie,Man of the House,James Orr,"Chevy Chase, Farrah Fawcett, Jonathan Taylor Thomas, George Wendt",United States,"April 9, 2021",1995,PG,97 min,"Comedy, Coming of Age, Crime",A man joins the YMCA to impress the son of the woman of his dreams.
9923,S9924,Disney,Movie,Mark Twain and Me,Daniel Petrie,"Jason Robards, Talia Shire, R.H. Thomson, Fiona Reid, Chris Wiggins, Amy Stewart","Canada, United States","April 9, 2021",1991,TV-PG,93 min,"Biographical, Coming of Age, Drama","A shy 11 -year- old is thrilled to meet Mark Twain, the man she most admires in all the world."
9924,S9925,Disney,Movie,Squanto: A Warrior's Tale,Xavier Koller,"Adam Beach, Eric Schweig, Michael Gambon, Nathaniel Parker, Alex Norton, Sheldon Peters Wolfchild","United States, Canada","April 9, 2021",1994,PG,102 min,"Action-Adventure, Biographical, Drama",A vivid true story of one man's unquenchable thirst for independence.
9926,S9927,Disney,Movie,Ewoks: The Battle for Endor,"Jim Wheat, Ken Wheat","Wilford Brimley, Warwick Davis, Aubree Miller, Siân Phillips, Carel Struycken, Niki Botelho",United States,"April 2, 2021",1985,TV-PG,97 min,"Action-Adventure, Fantasy, Science Fiction",The adventures of the Ewoks continue as Wicket and friends confront the evil Marauders.
9928,S9929,Disney,Movie,Island at the Top of the World,Robert Stevenson,"David Hartman, Donald Sinden, Jacques Marin, Mako , David Gwillim, Agneta Eckemyr",United States,"April 2, 2021",1974,G,94 min,"Action-Adventure, Fantasy, Survival",A man commissions an airship and crew to search for his missing son.
9930,S9931,Disney,Movie,Night at the Museum,Shawn Levy,"Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney, Bill Cobbs, Jake Cherry","United States, United Kingdom","April 2, 2021",2006,PG,109 min,"Action-Adventure, Comedy, Family",A new guard at the Natural History Museum finds that when visitors leave the exhibits come to life.
9936,S9937,Disney,Movie,The Big Year,David Frankel,"Steve Martin, Jack Black, Owen Wilson, Brian Dennehy, Anjelica Huston, Rashida Jones","United States, Canada","April 2, 2021",2011,PG,101 min,"Animals & Nature, Comedy",Three men pursue the Birder of the Year title across the continent.
9938,S9939,Disney,Movie,Third Man on the Mountain,Ken Annakin,"Michael Rennie, James MacArthur, Janet Munro, James Donald, Herbert Lom, Laurence Naismith","United States, United Kingdom","April 2, 2021",1959,G,107 min,"Action-Adventure, Coming of Age, Family","A boy attempts the impossible - climbing the ""Citadel."""
9940,S9941,Disney,Movie,Gnomeo & Juliet,Kelly Asbury,"James McAvoy, Emily Blunt, Matt Lucas, Ashley Jensen, Michael Caine, Jim Cummings","United Kingdom, United States, Canada, Ireland","March 26, 2021",2011,G,86 min,"Action-Adventure, Animation, Family",Two garden gnomes remain star-crossed lovers during a feud among neighbors.
9949,S9950,Disney,Movie,Miss Peregrine's Home for Peculiar Children,Tim Burton,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench, Rupert Everett, Allison Janney","United States, United Kingdom, Belgium, Canada","March 12, 2021",2016,PG-13,127 min,"Coming of Age, Fantasy",A wildly imaginative fantasy-adventure about a secret world for children with unusual powers.
9951,S9952,Disney,Movie,Garfield: A Tail of Two Kitties,Tim Hill,"Breckin Meyer, Jennifer Love Hewitt, Billy Connolly, Bill Murray","United Kingdom, United States","March 5, 2021",2006,PG,79 min,"Comedy, Family, Kids",Garfield is adopted by a greedy Lord with nefarious plans to open up his estate as a hunting ground.
9958,S9959,Disney,Movie,Myth: A Frozen Tale,Jeff Gipson,Evan Rachel Wood,United States,"February 26, 2021",2021,TV-G,12 min,"Animation, Family, Fantasy",A family sits down for a bedtime story and is transported to a forest filled with elemental spirits.
9959,S9960,Disney,Movie,Okavango: River of Dreams,"Dereck Joubert, Beverly Joubert",Dereck Joubert,"Austria, South Africa","February 26, 2021",2020,TV-PG,95 min,"Animals & Nature, Documentary",The story of the Okavango River through the wildlife who dwell amongst its waters.
9963,S9964,Disney,Movie,Cheaper By the Dozen,Shawn Levy,"Steve Martin, Bonnie Hunt, Hilary Duff, Tom Welling, Piper Perabo",United States,"February 19, 2021",2003,PG,99 min,"Comedy, Family",Tom and Kate Baker discover that managing twelve children and big careers are a difficult mix.
9964,S9965,Disney,Movie,Cheaper by the Dozen 2,Adam Shankman,"Steve Martin, Eugene Levy, Bonnie Hunt, Tom Welling, Piper Perabo, Carmen Electra","United States, Canada","February 19, 2021",2005,PG,95 min,"Comedy, Family",The Bakers go toe-to-toe against the Murtaughs in the ultimate inter-family battle.
9965,S9966,Disney,Movie,Flora & Ulysses,Lena Khan,"Matilda Lawler, Alyson Hannigan, Ben Schwartz, Anna Deavere Smith, Danny Pudi, Benjamin Evan Ainsworth",United States,"February 19, 2021",2021,PG,95 min,"Comedy, Coming of Age, Drama",Comic book fan Flora saves a squirrel whose superhero powers bring hope and wonder to her family.
9971,S9972,Disney,Movie,You Again,Andy Fickman,"Kristen Bell, Sigourney Weaver, Jamie Lee Curtis, Odette Yustman, Kristin Chenoweth, Victor Garber",United States,"February 12, 2021",2010,PG,106 min,Comedy,An unlikely reunion causes high school drama to resurface between a nice girl and her arch nemesis.
9972,S9973,Disney,Movie,Disney My Music Story: Yoshiki,Kentaro Takayanagi,YOSHIKI,"United States, Japan","February 5, 2021",2019,TV-PG,48 min,"Biographical, Documentary, Music",Yoshiki from “X Japan” performs two Disney songs and talks about his music.
9973,S9974,Disney,Movie,Expedition Everest,Katie Bauer Murdock,Tate Donovan,United States,"February 5, 2021",2020,TV-PG,45 min,"Animals & Nature, Documentary",Scientists and Sherpas team up on Mount Everest to install the highest weather station in the world.
